File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Data\Database.cs,189,162,90,28,27,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Data\Folder.cs,232,190,110,27,40,0,2,14,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Data\ImageData.cs,165,138,75,17,27,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Data\ImageDataComparer.cs,20,18,12,1,2,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Data\ISerializable.cs,42,16,11,0,4,1,22,108,0,1
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTagTests\FolderTests.cs,68,58,34,2,9,0,1,4,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTagTests\ImageDataComparerTests.cs,41,36,22,0,5,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTagTests\ImageDataTests.cs,148,131,74,0,17,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTagTests\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleArc\SimpleArc\Processor.cs,93,77,46,10,12,0,4,43,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleArc\SimpleArc\Program.cs,38,34,24,2,4,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleArc\SimpleArc\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\BinaryRLECompressor.cs,183,154,91,18,29,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\Form1.Designer.cs,336,245,227,1,8,0,83,78,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\MainForm.cs,120,105,64,13,15,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\Program.cs,23,18,11,0,2,0,3,12,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\StringExtensions.cs,24,20,12,2,4,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\GameServices.cs,170,81,46,5,19,1,70,329,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\MainGame.cs,92,46,26,1,14,0,32,207,0,0
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Orb.cs,52,42,24,1,10,0,0,0,0,0
